home_team,away_team,home_norm_points,away_norm_points,neutral,knockout_home_win_prob,knockout_away_win_prob,home_win_prob,away_win_prob,tie_prob
Argentina,Brazil,100.0,93.785563869349,1,0.6393100262248603,0.3606899737751396,0.4698425347040216,0.26507873264798915,0.26507873264798915
Argentina,USA,100.0,84.15072359872755,0,0.5872353966782135,0.4127646033217866,0.41566400750518967,0.29216799624740514,0.29216799624740514
Argentina,Colombia,100.0,82.6407993189659,1,0.8318564021000021,0.16814359789999783,0.7121182734686489,0.1439408632656755,0.1439408632656755
Argentina,Mexico,100.0,82.35673641292172,1,0.8354841733752213,0.16451582662477865,0.717451969542381,0.1412740152288095,0.1412740152288095
Argentina,Uruguay,100.0,82.20260764371164,1,0.8374261081651628,0.1625738918348371,0.7203207590043947,0.13983962049780266,0.13983962049780266
Argentina,Ecuador,100.0,69.55239930104395,1,0.9429092351388796,0.057090764861120365,0.8919851222640832,0.05400743886795842,0.05400743886795842
Argentina,Peru,100.0,69.33733590214615,1,0.9439662238126731,0.05603377618732691,0.8938788181763854,0.053060590911807384,0.053060590911807384
Argentina,Chile,100.0,67.17684484071869,1,0.9536079405429424,0.046392059457057516,0.9113294887173952,0.044335255641302376,0.04433525564130237
Argentina,Panama,100.0,65.735023970608,1,0.9591413896884401,0.040858610311559976,0.9214905657564195,0.039254717121790225,0.03925471712179023
Argentina,Canada,100.0,64.43926699224876,1,0.9635704220321941,0.036429577967805896,0.9297017786018116,0.0351491106990942,0.0351491106990942
Argentina,Costa Rica,100.0,63.02522514449573,1,0.9678760637508391,0.03212393624916094,0.9377517851859876,0.031124107407006232,0.031124107407006232
Argentina,Venezuela,100.0,62.7483310184148,1,0.9686596075090905,0.031340392490909606,0.9392239599668624,0.030388020016568717,0.030388020016568717
Argentina,Jamaica,100.0,62.12464716161118,1,0.9703573129067142,0.029642687093285658,0.9424214099417966,0.028789295029101714,0.028789295029101714
Argentina,Paraguay,100.0,61.71244231372373,1,0.9714300662361885,0.0285699337638114,0.9444472702808521,0.027776364859573913,0.027776364859573913
Argentina,Bolivia,100.0,48.5532505936646,1,0.9913234830829988,0.00867651691700132,0.9827962349247094,0.008601882537645383,0.008601882537645385
Brazil,USA,93.785563869349,84.15072359872755,0,0.44526462580698095,0.5547353741930191,0.3080851892838393,0.38382962143232136,0.3080851892838393
Brazil,Colombia,93.785563869349,82.6407993189659,1,0.7362311049962824,0.26376889500371764,0.582567831750691,0.20871608412465456,0.20871608412465456
